Well,Unnamed: 0,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control,Cqs
A10,,SYBR,100.0,Pos Ctrl,1B ctrl,20863.5769957066,,ControlPositive,Unassigned,False,10.302630691777837
A11,,SYBR,100.0,Pos Ctrl,1B ctrl,20833.531334266798,,ControlPositive,Unassigned,False,10.229831647634414
A12,,SYBR,100.0,Pos Ctrl,1B ctrl,21115.6349902538,,ControlPositive,Unassigned,False,10.589062623647859
B10,,SYBR,10.0,Pos Ctrl,1B ctrl,19516.6515609784,,ControlPositive,Unassigned,False,13.842912219359539
B11,,SYBR,10.0,Pos Ctrl,1B ctrl,19316.9995410691,,ControlPositive,Unassigned,False,13.706662325952689
B12,,SYBR,10.0,Pos Ctrl,1B ctrl,20538.7813948685,,ControlPositive,Unassigned,False,13.770772150030853
C10,,SYBR,1.0,Pos Ctrl,1B ctrl,21058.9936152051,,ControlPositive,Unassigned,False,17.15286729749765
C11,,SYBR,1.0,Pos Ctrl,1B ctrl,20585.5279853862,,ControlPositive,Unassigned,False,16.98956275037061
C12,,SYBR,1.0,Pos Ctrl,1B ctrl,20885.5695305055,,ControlPositive,Unassigned,False,17.15752186783015
D10,,SYBR,0.1,Pos Ctrl,1B ctrl,21033.7242158531,,ControlPositive,Unassigned,False,20.601964284518445
D11,,SYBR,0.1,Pos Ctrl,1B ctrl,20834.497707303402,,ControlPositive,Unassigned,False,20.46658856132857
D12,,SYBR,0.1,Pos Ctrl,1B ctrl,21056.6542239549,,ControlPositive,Unassigned,False,20.384810239751825
E10,,SYBR,0.01,Pos Ctrl,1B ctrl,20851.274768710802,,ControlPositive,Unassigned,False,23.127474989026005
E11,,SYBR,0.01,Pos Ctrl,1B ctrl,19703.7039317392,,ControlPositive,Unassigned,False,22.92419152614002
E12,,SYBR,0.01,Pos Ctrl,1B ctrl,19275.9726471483,,ControlPositive,Unassigned,False,22.537621408171802
F10,,SYBR,0.0,Pos Ctrl,1B ctrl,19338.510328745702,,ControlPositive,Unassigned,False,39.43388555267417
F11,,SYBR,0.0,Pos Ctrl,1B ctrl,2031.75028509195,,ControlPositive,Unassigned,False,49.70967255380977
F12,,SYBR,0.0,Pos Ctrl,1B ctrl,18259.582335826002,,ControlPositive,Unassigned,False,38.394240105724464
