Well,Fluor,Target,Content,Probe,End RFU,Depletant,Sample Type,CallType,Is Control
A01,SYBR,12000,CRP,3.93,16834.84171,0,ControlPositive,Unassigned,FALSE
A02,SYBR,12000,CRP,3.93,17334.65573,0,ControlPositive,Unassigned,FALSE
A03,SYBR,12000,CRP,3.93,17517.33114,0,ControlPositive,Unassigned,FALSE
A04,SYBR,2000,CRP,3.93,20105.64293,0,ControlPositive,Unassigned,FALSE
A05,SYBR,2000,CRP,3.93,18074.42376,0,ControlPositive,Unassigned,FALSE
A06,SYBR,2000,CRP,3.93,20787.31958,0,ControlPositive,Unassigned,FALSE
A07,SYBR,333.3333333,CRP,3.93,18201.27189,0,ControlPositive,Unassigned,FALSE
A08,SYBR,333.3333333,CRP,3.93,19818.36052,0,ControlPositive,Unassigned,FALSE
A09,SYBR,333.3333333,CRP,3.93,21544.45903,0,ControlPositive,Unassigned,FALSE
A10,SYBR,55.55555556,CRP,3.93,19338.30102,0,ControlPositive,Unassigned,FALSE
A11,SYBR,55.55555556,CRP,3.93,19202.33154,0,ControlPositive,Unassigned,FALSE
A12,SYBR,55.55555556,CRP,3.93,20153.85655,0,ControlPositive,Unassigned,FALSE
B01,SYBR,12000,CRP,3.93,19322.00575,5,ControlPositive,Unassigned,FALSE
B02,SYBR,12000,CRP,3.93,19079.57305,5,ControlPositive,Unassigned,FALSE
B03,SYBR,12000,CRP,3.93,17962.86774,5,ControlPositive,Unassigned,FALSE
B04,SYBR,2000,CRP,3.93,20271.22009,5,ControlPositive,Unassigned,FALSE
B05,SYBR,2000,CRP,3.93,19705.80007,5,ControlPositive,Unassigned,FALSE
B06,SYBR,2000,CRP,3.93,19761.66163,5,ControlPositive,Unassigned,FALSE
B07,SYBR,333.3333333,CRP,3.93,21877.8971,5,ControlPositive,Unassigned,FALSE
B08,SYBR,333.3333333,CRP,3.93,21435.10103,5,ControlPositive,Unassigned,FALSE
B09,SYBR,333.3333333,CRP,3.93,22559.96816,5,ControlPositive,Unassigned,FALSE
B10,SYBR,55.55555556,CRP,3.93,19857.24364,5,ControlPositive,Unassigned,FALSE
B11,SYBR,55.55555556,CRP,3.93,22090.68422,5,ControlPositive,Unassigned,FALSE
B12,SYBR,55.55555556,CRP,3.93,20161.61256,5,ControlPositive,Unassigned,FALSE
C01,SYBR,12000,CRP,3.93,18162.0544,50,ControlPositive,Unassigned,FALSE
C02,SYBR,12000,CRP,3.93,20801.96478,50,ControlPositive,Unassigned,FALSE
C03,SYBR,12000,CRP,3.93,20536.84,50,ControlPositive,Unassigned,FALSE
C04,SYBR,2000,CRP,3.93,21903.62849,50,ControlPositive,Unassigned,FALSE
C05,SYBR,2000,CRP,3.93,21584.08438,50,ControlPositive,Unassigned,FALSE
C06,SYBR,2000,CRP,3.93,23915.8873,50,ControlPositive,Unassigned,FALSE
C07,SYBR,333.3333333,CRP,3.93,23223.12393,50,ControlPositive,Unassigned,FALSE
C08,SYBR,333.3333333,CRP,3.93,22680.81237,50,ControlPositive,Unassigned,FALSE
C09,SYBR,333.3333333,CRP,3.93,23884.128,50,ControlPositive,Unassigned,FALSE
C10,SYBR,55.55555556,CRP,3.93,23401.14,50,ControlPositive,Unassigned,FALSE
C11,SYBR,55.55555556,CRP,3.93,21144.12156,50,ControlPositive,Unassigned,FALSE
C12,SYBR,55.55555556,CRP,3.93,21796.91746,50,ControlPositive,Unassigned,FALSE
D01,SYBR,12000,CRP,3.93,18873.64289,500,ControlPositive,Unassigned,FALSE
D02,SYBR,12000,CRP,3.93,19987.4022,500,ControlPositive,Unassigned,FALSE
D03,SYBR,12000,CRP,3.93,19207.24621,500,ControlPositive,Unassigned,FALSE
D04,SYBR,2000,CRP,3.93,21786.21014,500,ControlPositive,Unassigned,FALSE
D05,SYBR,2000,CRP,3.93,21788.2129,500,ControlPositive,Unassigned,FALSE
D06,SYBR,2000,CRP,3.93,22873.90822,500,ControlPositive,Unassigned,FALSE
D07,SYBR,333.3333333,CRP,3.93,21099.66281,500,ControlPositive,Unassigned,FALSE
D08,SYBR,333.3333333,CRP,3.93,21490.59814,500,ControlPositive,Unassigned,FALSE
D09,SYBR,333.3333333,CRP,3.93,9542.090992,500,ControlPositive,Unassigned,FALSE
D10,SYBR,55.55555556,CRP,3.93,9799.247004,500,ControlPositive,Unassigned,FALSE
D11,SYBR,55.55555556,CRP,3.93,19957.79201,500,ControlPositive,Unassigned,FALSE
D12,SYBR,55.55555556,CRP,3.93,19033.29732,500,ControlPositive,Unassigned,FALSE
