,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
,1,-55.33709468,-87.57121582,-67.67427897,-100.5271843,-92.69258224,-82.51304016,-77.19853257,-75.53685299,-52.39866441,-83.88398039,-68.91691776,-20.50875166,-73.31011075,43.97502381,9.437474729,8.89883526,11.10475595,9.405185184,-35.86619619,35.52142732,33.28382815,20.79546249,-88.88110284,-90.94908153,-59.67312084,14.90206531,16.15477602,24.71053628,28.83820319,9.331093875,14.36063433,25.68557674,19.79043477,22.41895856,-54.82385396,-102.6627862,-63.71095865,6.062821782,1.098568723,35.60772008,1.539151785,31.80278391,40.13810495,20.37458422,18.35154093,19.08357004,27.89313257,-173.5357246
,2,-22.61252314,-29.2614056,-20.57042769,-42.58123916,-33.57605512,-32.32922033,-25.70709693,-31.43921054,-13.96253084,-38.78068485,-20.34463477,-3.180845825,-20.95624252,53.66343342,18.64503648,24.53353769,29.62399881,25.93723454,-5.734918093,50.77339946,42.26793545,34.45110032,11.83732583,-53.34117229,-11.59408305,24.21519266,27.93518737,38.87589824,42.99639453,28.28606763,31.22761343,40.53626646,29.19012585,40.27280437,42.91810238,-81.65783177,-6.379774439,19.64434174,19.28209544,41.46355158,14.74507538,46.32404293,42.51413687,33.08534757,34.78725785,34.45291822,42.20534028,-128.7643572
,3,-0.698886833,-4.166503365,-1.172384276,-19.85613973,-12.3716255,-5.651397523,-0.160216858,-11.33144648,6.832501652,-15.92787873,-5.228817205,3.496541544,4.72885243,41.02275272,18.56963331,23.7753163,26.21364414,25.07036496,1.844802597,45.75442858,39.65062265,33.21937868,51.01806819,-18.54279377,2.543646615,31.04838461,33.18442036,41.1465173,40.86935386,27.04253829,27.65592762,37.12051436,26.12286038,38.31137394,38.5230015,-73.96588819,16.843071,23.67525084,17.84255875,45.09867555,23.34266766,44.0085685,37.87458989,31.18727923,36.4921738,30.69205166,38.27744364,-61.15605538
,4,5.741646925,9.270358277,8.317152748,6.661383462,7.019184169,6.904550203,7.84261558,1.807083638,16.84057222,-2.033631977,7.851041038,8.453051735,13.87162253,38.85852384,21.22812991,20.99251685,24.33643268,18.80441857,11.27946932,36.73132018,34.74142647,22.46314029,40.70782091,-1.258004596,19.3000972,30.49756804,27.6504571,34.65521973,39.76279727,26.71721042,28.34006446,36.37056034,28.76965398,28.59132621,33.12734405,-66.00567089,25.02341941,23.40920592,14.04903195,35.7074467,17.36067231,36.86847696,41.41688083,30.62108278,27.40065332,31.66127737,36.75226068,-46.73153078
,5,6.482667516,13.06688695,10.9009786,18.66947051,18.82574563,18.05808227,8.552325034,7.51717719,20.0218952,6.031533312,12.5477272,17.82715897,20.20344866,30.04730932,11.70008175,19.13588526,15.49170811,16.41566731,15.74165305,28.67232981,32.38816254,21.36631701,33.41484184,8.891176184,20.43033927,21.92203711,26.08477716,29.35725371,29.75484339,22.26820674,24.50660068,31.31923622,22.8401132,30.8973605,25.04295092,-51.10080436,30.55073892,20.33630436,15.6501025,33.25618779,14.86912088,31.55715512,32.88435672,27.93065033,30.46237556,24.22371579,29.98171459,-34.07606956
,6,10.79029588,16.66925033,19.83728649,26.04100954,22.3399672,20.99756681,20.44457418,13.19097058,16.85905197,12.29316168,21.04374407,24.64618182,17.87673193,19.20302199,12.45359404,15.59248767,12.22224535,6.128000456,13.30549627,23.48280264,18.86953101,14.0379916,29.36167433,9.250298099,14.35810628,13.35320478,15.41279358,26.99753321,27.6591165,14.90552634,19.37509255,21.2828195,12.75608276,22.80564253,18.02317137,-45.48182062,25.68316859,22.21060151,15.78030878,31.63479593,18.91297799,28.77451182,26.56439323,27.92911608,27.89746712,24.53630082,24.13050041,-21.57456166
,7,10.71377341,21.76673331,18.9831675,25.23232961,22.19727406,21.12395545,25.11191271,17.72526924,22.40278649,15.14154929,13.79406343,12.90168503,10.81876915,11.93474099,1.651867993,6.976230607,6.304520798,9.217603294,14.75083078,17.62140987,4.79036768,9.695657772,18.54416786,8.542226474,11.91218052,13.27101882,12.73217945,19.81391283,13.10603416,10.8870251,16.11533324,14.64662548,12.6616731,18.4250571,12.95912913,5.667540157,16.2751731,14.08872548,11.18825025,26.37861098,16.62743592,17.83188196,22.35077776,14.77274566,17.61957907,18.25309878,25.21944501,-4.574168704
,8,12.08448244,19.5676431,19.63652389,20.97157468,12.95427376,11.57580712,22.37823411,20.43905916,19.61368959,14.31966241,11.45469467,14.14952326,6.886702909,1.427899947,-0.500485681,-4.350239762,-4.24187572,-4.200424696,7.287154372,6.104320757,2.2372979,3.07752181,5.817572782,7.195661529,4.713953195,1.107012682,7.74652978,12.12148687,7.692090048,3.562437621,12.09601475,12.20557019,5.584854229,14.1191396,4.567549172,6.172232779,14.09742662,12.78714273,10.56619907,16.04265421,10.98317801,14.85349204,22.51024726,10.86869023,16.31389334,13.35095163,14.75972845,12.81202037
,9,5.710404532,9.176037546,4.825272296,7.100475317,8.639811285,11.44514195,23.75253417,16.76808022,11.75815676,8.50672516,7.177433171,5.300006903,-5.56468471,-10.86064606,-9.809205817,-12.26949987,-8.075993003,-7.482059713,7.684235388,2.599991127,-6.867546864,2.840929434,-1.110252858,2.793605685,0.256990297,-1.452669777,-1.202699687,5.874938953,1.555867599,-0.056014513,1.531193304,6.547476446,3.032533226,9.466027991,3.68894758,17.2241391,15.09169845,5.366283615,11.31289534,12.10982339,3.584162973,13.72245076,9.510241152,10.2163498,7.827923351,13.56815377,9.32145735,27.70256272
,10,4.748653392,-4.252520916,-11.21209263,-3.831656748,0.730764468,-3.676492428,9.431126562,8.789119006,8.235359452,14.94338496,6.089381818,4.124729168,-11.44404043,-16.84195316,-18.73104352,-14.02095358,-13.90553037,-17.60708732,6.06382502,-11.39247085,-10.38086577,-2.664396688,-2.399948625,0.929346076,-7.701709719,-5.028927648,-6.487521164,-1.511999184,-5.210977821,-5.443972961,-0.750153597,0.757096385,-0.24834128,6.553495743,-1.027093442,33.42841061,3.853764181,-0.394164044,0.396136409,5.791638498,3.002384582,7.57352328,10.18878892,7.998874807,9.160469368,3.322663256,7.794235589,45.45731784
